rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0125.jpg,50.0,0.4855,0.5973,0.1429,0.72,3,1,False,False
75,frame_0275.jpg,110.0,0.4851,0.4617,0.7143,0.2,5,5,False,False
76,frame_0120.jpg,48.0,0.4834,0.5017,0.4286,0.52,4,3,False,False
77,frame_0230.jpg,92.0,0.4832,0.6612,0.4286,0.12,5,3,False,False
78,frame_0290.jpg,116.0,0.4825,0.4736,0.2857,0.8,5,2,False,False
79,frame_0025.jpg,10.0,0.4796,0.4734,0.1429,1.0,1,1,False,False
80,frame_0087.jpg,34.8,0.4777,0.5062,0.4286,0.48,4,3,False,False
81,frame_0018.jpg,7.2,0.4769,0.3823,0.2857,1.0,5,2,False,False
82,frame_0017.jpg,6.8,0.475,0.3785,0.2857,1.0,4,2,False,False
83,frame_0075.jpg,30.0,0.4742,0.3929,0.2857,0.96,4,2,False,False
84,frame_0274.jpg,109.6,0.4742,0.5416,0.5714,0.16,6,4,False,False
85,frame_0216.jpg,86.4,0.4736,0.5997,0.2857,0.44,3,2,False,False
86,frame_0317.jpg,126.8,0.4724,0.522,0.5714,0.2,5,4,False,False
87,frame_0389.jpg,155.6,0.4716,0.4666,0.7143,0.12,8,5,False,False
88,frame_0026.jpg,10.4,0.4695,0.3676,0.2857,1.0,3,2,False,False
89,frame_0304.jpg,121.6,0.4688,0.6382,0.2857,0.32,4,2,False,False
90,frame_0194.jpg,77.6,0.4685,0.5679,0.4286,0.28,3,3,False,False
91,frame_0019.jpg,7.6,0.468,0.4502,0.1429,1.0,1,1,False,False
92,frame_0287.jpg,114.8,0.4649,0.4864,0.2857,0.68,7,2,False,False
93,frame_0176.jpg,70.4,0.4625,0.4862,0.5714,0.24,7,4,False,False
94,frame_0027.jpg,10.8,0.4613,0.4368,0.1429,1.0,2,1,False,False
95,frame_0011.jpg,4.4,0.4574,0.3434,0.2857,1.0,3,2,False,False
96,frame_0279.jpg,111.6,0.4562,0.4256,0.5714,0.36,5,4,False,False
97,frame_0387.jpg,154.8,0.454,0.4851,0.5714,0.2,8,4,False,False
98,frame_0330.jpg,132.0,0.4531,0.6331,0.4286,0.04,8,3,False,False
99,frame_0397.jpg,158.8,0.4508,0.4788,0.5714,0.2,8,4,False,False
100,frame_0280.jpg,112.0,0.45,0.5686,0.2857,0.4,4,2,False,False
101,frame_0177.jpg,70.8,0.4461,0.4693,0.5714,0.2,5,4,False,False
102,frame_0208.jpg,83.2,0.4444,0.4133,0.2857,0.76,3,2,False,False
103,frame_0132.jpg,52.8,0.4434,0.3153,0.2857,1.0,5,2,False,False
104,frame_0396.jpg,158.4,0.4422,0.4776,0.5714,0.16,8,4,False,False
105,frame_0068.jpg,27.2,0.4399,0.3084,0.2857,1.0,6,2,False,False
106,frame_0288.jpg,115.2,0.4399,0.506,0.1429,0.72,5,1,False,False
107,frame_0302.jpg,120.8,0.4399,0.3769,0.5714,0.4,6,4,False,False
108,frame_0269.jpg,107.6,0.437,0.6009,0.4286,0.04,4,3,False,False
109,frame_0210.jpg,84.0,0.4359,0.3427,0.4286,0.68,4,3,False,False
110,frame_0078.jpg,31.2,0.4288,0.3502,0.2857,0.84,6,2,False,False
111,frame_0016.jpg,6.4,0.4283,0.2851,0.2857,1.0,6,2,False,False
112,frame_0089.jpg,35.6,0.4272,0.4373,0.4286,0.4,5,3,False,False
113,frame_0021.jpg,8.4,0.4236,0.2758,0.2857,1.0,4,2,False,False
114,frame_0111.jpg,44.4,0.4235,0.5259,0.4286,0.16,4,3,False,False
115,frame_0020.jpg,8.0,0.423,0.3602,0.1429,1.0,3,1,False,False
116,frame_0282.jpg,112.8,0.4214,0.4794,0.2857,0.48,3,2,False,False
117,frame_0095.jpg,38.0,0.4211,0.4354,0.5714,0.16,6,4,False,False
118,frame_0386.jpg,154.4,0.4191,0.5708,0.2857,0.24,8,2,False,False
119,frame_0271.jpg,108.4,0.4165,0.6455,0.2857,0.04,2,2,False,False
120,frame_0009.jpg,3.6,0.4163,0.3468,0.1429,1.0,2,1,False,False
121,frame_0306.jpg,122.4,0.4156,0.478,0.4286,0.24,7,3,False,False
122,frame_0189.jpg,75.6,0.4135,0.5379,0.4286,0.08,4,3,False,False
123,frame_0298.jpg,119.2,0.4117,0.4279,0.2857,0.56,4,2,False,False
124,frame_0101.jpg,40.4,0.4098,0.6162,0.2857,0.08,3,2,False,False
125,frame_0220.jpg,88.0,0.4097,0.536,0.2857,0.28,2,2,False,False
126,frame_0278.jpg,111.2,0.4083,0.5172,0.2857,0.32,5,2,False,False
127,frame_0010.jpg,4.0,0.4056,0.3254,0.1429,1.0,2,1,False,False
128,frame_0206.jpg,82.4,0.4043,0.4189,0.1429,0.76,2,1,False,False
129,frame_0082.jpg,32.8,0.4039,0.3643,0.2857,0.68,3,2,False,False
130,frame_0080.jpg,32.0,0.4028,0.3302,0.2857,0.76,7,2,False,False
131,frame_0112.jpg,44.8,0.4028,0.6399,0.1429,0.2,4,1,False,False
132,frame_0222.jpg,88.8,0.4025,0.3821,0.5714,0.2,4,4,False,False
133,frame_0174.jpg,69.6,0.4002,0.4152,0.4286,0.32,5,3,False,False
134,frame_0116.jpg,46.4,0.3995,0.4836,0.2857,0.36,6,2,False,False
135,frame_0232.jpg,92.8,0.3975,0.4578,0.4286,0.2,5,3,False,False
136,frame_0320.jpg,128.0,0.395,0.4368,0.4286,0.24,8,3,False,False
137,frame_0193.jpg,77.2,0.3933,0.4335,0.4286,0.24,6,3,False,False
138,frame_0307.jpg,122.8,0.393,0.4488,0.4286,0.2,5,3,False,False
139,frame_0202.jpg,80.8,0.3913,0.3712,0.2857,0.6,5,2,False,False
140,frame_0283.jpg,113.2,0.3913,0.4031,0.2857,0.52,5,2,False,False
141,frame_0373.jpg,149.2,0.3898,0.4584,0.4286,0.16,6,3,False,False
142,frame_0006.jpg,2.4,0.3863,0.2868,0.1429,1.0,4,1,False,False
143,frame_0218.jpg,87.2,0.3859,0.4563,0.2857,0.36,3,2,False,False
144,frame_0388.jpg,155.2,0.3858,0.3647,0.5714,0.16,7,4,False,False
145,frame_0319.jpg,127.6,0.3848,0.4004,0.4286,0.28,8,3,False,False
146,frame_0299.jpg,119.6,0.3828,0.3861,0.2857,0.52,5,2,False,False
147,frame_0199.jpg,79.6,0.3822,0.4866,0.1429,0.48,1,1,False,False
148,frame_0175.jpg,70.0,0.3817,0.3942,0.4286,0.28,5,3,False,False
149,frame_0115.jpg,46.0,0.3816,0.378,0.4286,0.32,6,3,False,False
150,frame_0214.jpg,85.6,0.3811,0.3827,0.2857,0.52,3,2,False,False
151,frame_0333.jpg,133.2,0.3797,0.4703,0.4286,0.08,7,3,False,False
152,frame_0032.jpg,12.8,0.378,0.3561,0.0,1.0,4,0,False,False
153,frame_0303.jpg,121.2,0.3757,0.3503,0.4286,0.36,4,3,False,False
154,frame_0117.jpg,46.8,0.3736,0.5014,0.1429,0.4,5,1,False,False
155,frame_0385.jpg,154.0,0.3716,0.406,0.4286,0.2,6,3,False,False
156,frame_0273.jpg,109.2,0.3712,0.4372,0.4286,0.12,4,3,False,False
157,frame_0228.jpg,91.2,0.3708,0.4684,0.4286,0.04,4,3,False,False
158,frame_0378.jpg,151.2,0.3702,0.4513,0.4286,0.08,7,3,False,False
159,frame_0090.jpg,36.0,0.369,0.4225,0.2857,0.36,4,2,False,False
160,frame_0225.jpg,90.0,0.3647,0.4403,0.4286,0.08,6,3,False,False
161,frame_0088.jpg,35.2,0.3646,0.4674,0.1429,0.44,4,1,False,False
162,frame_0096.jpg,38.4,0.3633,0.5071,0.2857,0.12,6,2,False,False
163,frame_0028.jpg,11.2,0.3604,0.2351,0.1429,1.0,4,1,False,False
164,frame_0118.jpg,47.2,0.3604,0.3734,0.2857,0.44,3,2,False,False
165,frame_0300.jpg,120.0,0.3595,0.3556,0.2857,0.48,5,2,False,False
166,frame_0272.jpg,108.8,0.3588,0.5141,0.2857,0.08,2,2,False,False
167,frame_0395.jpg,158.0,0.3572,0.4092,0.4286,0.12,6,3,False,False
168,frame_0200.jpg,80.0,0.3569,0.42,0.1429,0.52,2,1,False,False
169,frame_0305.jpg,122.0,0.3564,0.3436,0.4286,0.28,5,3,False,False
170,frame_0105.jpg,42.0,0.3562,0.4232,0.4286,0.08,6,3,False,False
171,frame_0224.jpg,89.6,0.3561,0.5784,0.1429,0.12,4,1,False,False
172,frame_0091.jpg,36.4,0.3556,0.4117,0.2857,0.32,3,2,False,False
173,frame_0277.jpg,110.8,0.3544,0.4254,0.2857,0.28,8,2,False,False
174,frame_0081.jpg,32.4,0.3535,0.2475,0.2857,0.72,5,2,False,False
175,frame_0100.jpg,40.0,0.3526,0.5178,0.2857,0.04,5,2,False,False
176,frame_0104.jpg,41.6,0.3522,0.3992,0.4286,0.12,4,3,False,False
177,frame_0076.jpg,30.4,0.3521,0.3362,0.0,0.92,4,0,False,False
178,frame_0196.jpg,78.4,0.35,0.3845,0.2857,0.36,2,2,False,False
179,frame_0398.jpg,159.2,0.3481,0.4288,0.2857,0.24,7,2,False,False
180,frame_0219.jpg,87.6,0.3476,0.31,0.4286,0.32,4,3,False,False
181,frame_0131.jpg,52.4,0.3466,0.2235,0.1429,0.96,4,1,False,False
182,frame_0106.jpg,42.4,0.346,0.5046,0.2857,0.04,6,2,False,False
183,frame_0098.jpg,39.2,0.3457,0.5039,0.2857,0.04,5,2,False,False
184,frame_0185.jpg,74.0,0.3431,0.397,0.4286,0.08,5,3,False,False
185,frame_0226.jpg,90.4,0.3411,0.4091,0.4286,0.04,5,3,False,False
186,frame_0121.jpg,48.4,0.3396,0.3695,0.1429,0.56,4,1,False,False
187,frame_0390.jpg,156.0,0.3374,0.3857,0.4286,0.08,7,3,False,False
188,frame_0213.jpg,85.2,0.3368,0.3638,0.1429,0.56,2,1,False,False
189,frame_0184.jpg,73.6,0.3367,0.3842,0.4286,0.08,5,3,False,False
